gpsc	stCount	st
90	24	7860, 8326, 8328, 8331, 8332, 8660, 9928, 10558, 10641, 10648, 10678, 10703, 10714, 10827, 11070, 11109, 11118, 11681, 12145, 12522, 16865, 16898, 16948, 16975
91	15	373, 5079, 6514, 8958, 9574, 10992, 11012, 12369, 12394, 15008, 15566, 15567, 16172, 16803, 16826
92	15	5368, 5391, 7053, 7105, 10587, 10614, 10645, 11127, 11742, 12178, 15770, 15773, 15796, 15940, 15950
93	6	4956, 5557, 8838, 10639, 11126, 11713
94	13	2174, 5545, 6857, 9509, 10607, 10902, 10905, 11718, 12238, 12296, 12300, 12777, 16688
95	8	241, 5063, 6326, 7442, 12788, 12791, 12806, 16073
96	14	74, 1504, 3744, 5083, 5199, 9476, 11692, 14455, 14456, 14457, 15686, 16043, 16069, 16075
97	7	376, 1339, 2268, 2270, 8207, 10159, 10178
98	10	404, 1268, 1480, 2894, 3406, 4202, 5680, 10852, 13914, 16687
99	2	432, 1848
101	20	1078, 1406, 2854, 3476, 3520, 6550, 8507, 11011, 11040, 12783, 14433, 14504, 14802, 16126, 16712, 16741, 16760, 16772, 16784, 16807
102	15	4423, 4894, 7672, 7687, 9566, 10880, 11103, 11765, 12153, 13908, 14467, 15876, 15906, 16125, 16133
103	7	3407, 6847, 10778, 10805, 10908, 11764, 12422
104	21	4229, 6030, 7631, 7632, 7633, 11916, 12284, 12467, 12504, 12807, 14422, 14472, 14477, 14548, 14562, 15687, 15810, 15833, 15837, 16159, 16167
105	11	5449, 5623, 5625, 5626, 6148, 6348, 7433, 7457, 8008, 12846, 12847
106	7	2218, 2572, 12176, 12370, 12371, 12770, 16684
107	4	870, 12161, 12203, 12368
108	5	915, 6502, 9487, 9938, 15613
109	1	3009
110	1	4936
111	1	1390
112	9	4033, 5809, 9767, 11661, 11776, 12420, 12778, 15616, 16283
113	15	353, 775, 2160, 2882, 5463, 6018, 6870, 7413, 10754, 11336, 13892, 13910, 14578, 16867, 17138
114	5	5326, 8827, 10787, 12258, 12530
115	10	135, 1348, 1662, 3614, 10808, 12169, 12357, 13866, 15535, 16118
116	13	5080, 7706, 7707, 10878, 11102, 11656, 12577, 13882, 14539, 14540, 15705, 16728, 16736
117	9	6103, 11754, 11755, 11756, 12208, 12240, 12266, 12289, 15617
119	8	251, 654, 1258, 1340, 3616, 9746, 9748, 10881
120	13	1590, 2987, 3531, 5613, 9496, 10596, 10682, 11796, 12322, 16746, 16798, 16821, 17080
121	3	2929, 4029, 10676
122	3	4113, 12274, 14606
123	6	447, 1033, 6574, 12702, 17037, 17064
124	5	235, 1030, 1257, 13913, 15690
125	9	4987, 5624, 10642, 10657, 10961, 10973, 12233, 16858, 17120
126	10	1368, 4083, 9408, 10576, 10979, 11009, 12295, 16781, 16782, 17118
127	2	6690, 12797
128	2	4389, 12207
129	6	385, 3207, 9492, 10841, 15780, 15823
131	8	766, 3669, 5224, 8495, 11790, 13869, 13875, 15563
132	3	3280, 7479, 10161
133	4	11763, 12281, 12578, 12611
134	6	901, 1260, 3129, 11025, 15869, 15914
135	5	659, 995, 3157, 10170, 10224
136	7	5636, 5637, 5638, 5639, 6564, 6587, 7458
137	8	3782, 3983, 6037, 6485, 10900, 12610, 13897, 17122
138	2	7518, 7635
139	4	6524, 12833, 13903, 14437
140	4	58, 817, 10764, 15185
142	9	2419, 3594, 5456, 8840, 9523, 9536, 10588, 12351, 12549
143	6	2070, 9572, 9936, 12253, 14846, 15732
144	9	5676, 5677, 6584, 6585, 7443, 7444, 7445, 7446, 7459
145	8	5483, 10826, 10860, 10956, 12244, 12344, 12707, 16846
146	3	994, 4197, 10722
147	12	6040, 6911, 7674, 10873, 10922, 11002, 12410, 15577, 16046, 16086, 16745, 17063
148	9	9519, 10643, 10893, 10990, 11001, 11095, 12155, 12685, 16764
149	4	4399, 16191, 16218, 16256
150	7	2208, 2818, 10610, 10776, 10907, 12752, 13896
151	1	6707
152	8	3397, 6343, 7768, 8914, 9764, 9765, 9768, 11952
155	6	105, 2159, 2650, 5604, 10585, 12587
156	8	1840, 2685, 3551, 10148, 10439, 12187, 13946, 14519
157	1	10914
158	6	2966, 6149, 6791, 12268, 12270, 15985
159	8	6278, 7131, 9937, 10706, 10795, 16881, 16882, 16967
160	1	9813
161	3	9449, 9570, 12673
162	16	801, 1022, 1222, 3784, 4127, 5872, 6832, 10916, 12202, 12400, 12401, 12920, 14136, 14731, 15960, 17012
163	8	10568, 10633, 11061, 12256, 12263, 12321, 12337, 12343
164	2	2169, 10909
165	7	3751, 4640, 6209, 6460, 6578, 11955, 15580
168	4	10698, 11766, 16856, 16869
169	4	2911, 12412, 15748, 16163
170	14	2714, 2856, 7689, 10995, 10998, 11044, 13172, 14505, 14506, 14576, 15638, 15644, 15645, 16744
171	8	3473, 8692, 10772, 10886, 11709, 12599, 12683, 16952
172	4	291, 8496, 9745, 12237
173	1	12290
175	6	425, 485, 5460, 6048, 6937, 10450
176	3	9491, 11028, 16790
177	4	2991, 7566, 7567, 12375
178	7	2185, 3930, 4879, 6310, 7345, 12128, 16629
179	2	10550, 12603
180	6	4966, 15880, 15888, 15910, 15990, 16006
181	2	4368, 10884
182	4	1729, 2941, 9197, 12306
183	7	2902, 9461, 9465, 9466, 12259, 12341, 12354
184	8	702, 5392, 7651, 9552, 12750, 14931, 15757, 15783
185	7	553, 2016, 2017, 2038, 2666, 8596, 9435
186	2	12374, 15569
189	14	5464, 5467, 5471, 5619, 6731, 7420, 7421, 7454, 7455, 9463, 9501, 9551, 9916, 10646
190	3	1090, 9549, 12356
191	2	494, 546
192	8	8676, 8776, 9545, 10740, 10762, 10883, 12349, 12843
193	3	1131, 1526, 12718
194	6	5578, 10666, 10866, 10945, 10977, 12124
195	4	11676, 12386, 15593, 15600
196	2	5393, 6025
197	1	2102
198	5	87, 88, 89, 459, 5606
199	3	10570, 10957, 11071
200	4	5808, 10617, 11081, 12132
201	6	11773, 11774, 12276, 12278, 12279, 16887
202	2	9444, 9897
203	7	1746, 2752, 10588, 15871, 15882, 15963, 16017
204	5	1118, 2878, 2880, 9838, 9942
205	5	2067, 10716, 10823, 12535, 16938
206	6	5077, 7701, 7702, 11049, 15714, 16153
207	2	9815, 11723
209	7	5668, 8164, 11006, 12387, 15700, 16768, 17057
210	4	10590, 10674, 10947, 11688
211	3	6557, 7604, 11729
212	7	5972, 6202, 6946, 7751, 7759, 15719, 16298
213	4	1988, 3083, 4269, 13895
215	4	3465, 6541, 12271, 15724
216	3	9553, 12350, 16945
217	3	5258, 9524, 15866
218	9	5656, 7070, 10583, 12159, 12524, 16879, 16920, 16921, 16930
219	1	10591
220	2	10552, 13899
221	1	11720
222	6	8152, 10806, 15946, 16036, 16731, 16756
223	4	5412, 7063, 12247, 12748
224	10	2833, 3500, 3714, 4216, 5081, 6022, 6748, 11522, 14440, 16229
225	13	4217, 6034, 12496, 12497, 12782, 14423, 14524, 15707, 16775, 16796, 16818, 17053, 17070
226	5	1475, 7089, 12589, 12817, 16844
227	1	11759
228	3	2795, 10665, 10891
229	4	1025, 4715, 10918, 12511
230	11	2754, 7752, 14463, 14501, 15570, 15926, 15948, 16707, 16732, 16758, 16835
231	4	724, 5847, 12465, 13872
232	3	6132, 12701, 12812
233	10	1146, 5396, 5952, 6730, 14772, 15728, 15818, 15826, 15836, 15838
234	5	1116, 2021, 8964, 10440, 10606
235	7	4040, 10967, 12414, 16700, 16704, 17035, 17040
236	12	6044, 7538, 7573, 12815, 14552, 14568, 14569, 15835, 15860, 16761, 16776, 17044
237	4	1902, 7412, 12190, 13951
238	4	5898, 9901, 11112, 11679
239	2	2290, 12573
240	5	5466, 5505, 7449, 7450, 16039
241	10	5178, 10043, 11684, 12249, 13592, 14475, 14555, 15709, 15727, 16883
242	2	10582, 10611
243	3	10623, 10647, 12280
244	3	2912, 6807, 8738
245	7	2212, 3022, 14430, 14496, 14497, 16266, 16778
246	3	10577, 11087, 16935
247	7	6130, 7613, 7616, 11015, 12796, 16713, 16742
248	2	2758, 7403
249	2	770, 12500
250	1	5973
251	11	499, 6060, 6061, 7648, 8508, 14534, 15642, 15683, 15766, 15813, 15861
253	4	1765, 8799, 12489, 12523
254	2	8822, 11058
255	4	8824, 11775, 12230, 12243
256	2	11682, 12776
257	6	5407, 6064, 8806, 11007, 14446, 14447
258	4	9811, 10972, 11077, 17095
259	3	5009, 11930, 14553
260	16	6128, 6129, 8927, 11016, 12257, 13053, 14425, 14461, 14583, 15677, 15711, 15853, 16763, 16773, 16783, 17045
261	2	1796, 14574
262	3	3499, 13894, 15800
266	3	3539, 5472, 7422
267	2	5600, 14449
268	12	705, 6461, 6475, 6504, 6810, 6811, 14790, 14858, 14860, 15746, 15859, 15867
269	5	4063, 4883, 6345, 7414, 14520
270	5	8330, 10684, 10759, 10782, 12335
271	2	1232, 10848
272	4	4884, 5409, 12330, 14468
273	1	5508
274	4	8949, 12195, 12381, 15597
275	9	4880, 5823, 8153, 9865, 14421, 15618, 15799, 15801, 15850
276	4	10627, 10942, 12277, 12501
277	4	6197, 10868, 12156, 15546
278	4	5541, 7069, 12674, 13886
279	3	554, 875, 6909
280	3	11751, 11752, 11753
281	1	9464
282	4	1669, 6784, 12792, 16738
283	4	12786, 14478, 15666, 15863
284	11	7647, 7711, 11033, 11777, 14577, 15655, 16263, 16754, 16785, 17055, 17074
285	2	11710, 12810
286	4	7115, 13898, 13920, 13953
287	1	6769
288	2	46, 12379
289	2	8376, 11327
290	2	13887, 14493
293	3	5058, 6456, 17046
295	2	5581, 6139
298	1	5675
299	9	909, 5422, 6465, 7186, 7451, 12490, 16630, 16631, 17101
300	5	2831, 6508, 10803, 12392, 15771
301	4	2914, 10786, 16875, 16886
302	7	4223, 5349, 10804, 15765, 15768, 15793, 15847
303	7	6572, 7668, 8260, 10835, 12353, 14442, 17078
304	2	5577, 10851
305	3	10863, 12125, 17094
306	1	10601
307	7	5282, 7670, 12477, 14444, 14543, 14544, 17076
308	3	1294, 14480, 15870
309	6	4925, 5292, 6193, 14134, 14483, 15723
310	5	2337, 4878, 7086, 12466, 15777
311	2	742, 13930
312	5	2557, 9287, 14494, 15631, 16136
313	1	13955
315	1	1978
316	1	655
317	1	10494
319	2	16033, 16041
320	5	10374, 15916, 16025, 16072, 16091
321	2	902, 5244
322	2	6347, 7441
323	2	574, 1014
324	1	292
325	4	9460, 9471, 12346, 16840
326	5	3617, 5658, 9055, 9556, 11761
327	1	5461
328	2	5031, 10609
329	2	4090, 10728
330	3	7865, 10712, 10828
331	7	1469, 9359, 11734, 12194, 12679, 12716, 16152
332	2	4156, 10897
333	1	5527
334	5	1527, 1820, 6945, 16074, 16197
335	3	5590, 7531, 7653
336	5	2234, 6051, 12793, 14431, 15877
337	2	6035, 11053
338	4	2665, 4892, 6357, 16110
339	3	983, 12174, 12217
340	2	6740, 15573
341	2	8640, 9793
342	11	2794, 9500, 13883, 16058, 16117, 16120, 16121, 16128, 16179, 16276, 16799
343	2	8595, 13884
344	1	13891
348	2	5673, 6336
350	2	7439, 9056
351	1	5462
352	3	2283, 6311, 9907
353	1	8267
354	1	11694
355	3	852, 5876, 10685
356	4	10692, 10755, 16876, 16950
357	1	7424
358	3	11781, 16839, 16925
359	2	6472, 7599
360	1	5537
361	4	5654, 10812, 14465, 14466
363	3	4909, 10455, 12727
364	3	3801, 5000, 15548
365	1	225
366	1	10660
367	1	10640
370	1	11782
371	3	11454, 12780, 14072
372	4	5290, 7679, 16726, 17060
373	1	11014
374	1	5279
375	12	7559, 7590, 12798, 14547, 14570, 14571, 14572, 16792, 16794, 16800, 16810, 16819
376	17	3460, 9247, 14511, 14512, 14787, 14886, 16181, 16286, 16780, 16811, 16813, 16814, 16816, 16817, 16822, 17072, 17086
377	1	11750
378	1	12808
379	2	9446, 16889
381	2	6874, 12372
382	3	4542, 5833, 12385
383	3	3398, 13893, 15879
384	2	4441, 12188
385	2	11903, 13917
386	2	7438, 14458
388	1	5542
389	3	5893, 15575, 15578
390	1	1470
391	3	3787, 4986, 13833
392	2	761, 12476
393	2	11312, 13870
394	1	5406
395	2	13812, 13940
396	2	13904, 13907
397	1	8966
398	1	7596
400	1	15911
407	2	6851, 12417
408	2	3804, 8836
409	1	361
410	2	9498, 16119
411	3	6820, 9490, 12832
413	1	9569
414	2	6143, 9925
415	1	5662
416	1	5465
417	1	5667
419	1	6346
420	1	5969
421	1	10687
422	2	10694, 16845
423	1	10699
424	1	10700
425	2	12531, 16936
426	1	10719
427	1	10173
428	1	10730
429	1	8820
430	1	10739
431	1	10769
432	1	10771
433	1	5527
434	2	3341, 12288
435	1	2425
436	2	919, 10780
437	2	1800, 2167
438	1	10802
439	1	12236
440	2	9092, 12502
441	2	9094, 16155
442	4	5527, 6848, 6850, 10807
443	1	12722
444	1	10813
445	6	5631, 11823, 12563, 15654, 15712, 16689
446	1	12234
447	1	12235
448	1	10819
449	1	10824
451	1	1374
452	2	10836, 16870
453	1	2896
454	1	6063
455	2	6106, 15762
456	1	12572
457	2	6476, 10850
458	1	10867
459	3	10872, 11524, 14580
460	1	10877
461	1	10621
462	1	3578
463	1	1288
464	1	12751
465	1	2622
466	1	10931
467	1	10953
468	1	10958
469	1	12604
470	1	12608
471	1	10984
473	1	10989
474	1	3781
475	1	3802
477	1	3799
478	4	6880, 14453, 15722, 17088
479	1	11005
480	2	5602, 11008
481	3	2599, 9992, 16748
482	1	5612
483	1	11020
484	1	11026
485	9	5643, 6332, 14559, 14560, 14561, 16271, 16743, 16828, 17047
486	3	6026, 11036, 14451
487	2	11037, 14575
488	2	12795, 14479
489	1	11043
490	2	7667, 11047
492	2	7637, 17059
493	1	8150
494	1	7705
495	5	7539, 12814, 15657, 15658, 15699
496	2	7564, 15820
497	2	4856, 14529
498	3	8155, 9437, 15682
499	1	7671
500	4	4057, 7519, 15639, 16747
501	1	7513
502	1	11051
503	1	12801
504	1	11062
505	1	11068
506	1	11073
507	2	12283, 15565
508	1	7660
509	3	9597, 13168, 16727
510	1	8167
511	2	7560, 16832
512	2	12129, 16954
513	1	12131
514	1	11094
515	1	11098
516	1	12802
517	1	12149
518	1	2606
519	2	12320, 15956
520	4	12314, 12318, 12692, 15792
521	1	11344
522	1	7321
523	1	11685
525	1	12345
527	1	12348
528	1	6352
529	1	3592
530	1	2598
531	1	12361
532	1	2035
533	1	12171
534	1	6764
535	1	12325
536	2	5359, 16288
537	1	12181
538	1	12328
539	9	848, 2054, 5357, 6055, 14927, 15739, 15753, 15781, 15827
540	4	4875, 6050, 9445, 12323
541	1	5610
542	1	6142
543	1	11914
544	1	11918
545	2	5450, 16694
546	1	4225
547	1	8004
548	1	8005
549	1	748
550	1	922
551	1	3844
552	1	12403
553	1	12205
554	1	4112
555	1	12402
556	1	9766
557	1	12475
559	3	11479, 12471, 16802
561	2	1, 2008
562	1	12486
564	1	12818
565	2	2711, 15054
566	1	4651
567	1	7841
568	1	12519
569	1	12482
570	1	2779
571	1	796
572	1	675
573	1	735
574	2	4877, 14531
575	1	8102
576	1	13876
577	1	11328
579	1	9454
580	1	367
581	1	1028
582	1	13879
583	1	13900
584	2	5934, 6581
585	2	663, 12849
586	1	13909
587	1	13924
591	1	16300
595	1	6755
598	2	923, 12184
616	1	10352
620	1	16752
623	8	5421, 15889, 15901, 15962, 15967, 15991, 16010, 16082
624	10	9050, 10637, 15878, 15890, 15895, 15920, 15931, 15947, 16004, 16029
625	4	15958, 15969, 15993, 16024
626	10	5681, 15873, 15915, 15925, 16011, 16012, 16020, 16030, 16040, 16055
627	13	16051, 16053, 16115, 16127, 16129, 16139, 16144, 16146, 16151, 16158, 16160, 16170, 16175
628	12	15892, 15898, 15923, 15938, 15952, 15961, 15984, 16001, 16016, 16026, 16047, 16089
629	2	1816, 2189
631	1	41
633	1	3040
635	6	16068, 16200, 16204, 16210, 16244, 16691
636	1	14530
637	7	15874, 15897, 15917, 15977, 16007, 16013, 16097
638	1	11701
639	2	11148, 14469
640	2	16207, 16246
641	2	15659, 17091
642	7	6191, 14554, 16148, 16149, 16154, 16290, 16838
643	3	12726, 16050, 16116
645	4	6445, 6455, 6498, 6499
646	2	13310, 13856
647	3	13262, 14484, 15542
648	2	6441, 16720
649	3	6446, 6448, 6571
650	2	16270, 16279
651	1	12900
652	3	6042, 14579, 15646
653	2	15887, 16059
654	4	15904, 15978, 16014, 16085
655	6	14434, 14443, 14542, 15541, 15640, 17090
656	2	16067, 16196
657	2	14487, 14585
658	2	16077, 16186
659	2	172, 5621
660	1	5076
661	2	9139, 13215
662	4	5644, 14459, 14546, 16734
663	1	5682
664	1	1715
665	2	3643, 12675
666	2	6567, 6568
667	3	6484, 6488, 6534
668	1	1010
669	1	12196
670	1	12399
671	3	15957, 15970, 15975
672	1	7594
675	1	1752
676	3	2942, 14916, 15736
677	1	14454
678	2	6786, 13596
679	1	10620
680	1	9859
681	2	173, 272
682	1	4901
683	1	10624
684	1	9769
687	4	6318, 16722, 16836, 17069
689	2	11982, 17038
690	1	6473
691	1	12199
692	2	6720, 12691
693	2	4143, 6447
694	1	5039
695	1	12415
696	2	4841, 11394
697	1	12831
698	2	16084, 16273
699	1	6359
700	2	15594, 15622
701	2	16052, 16060
702	1	10404
703	2	574, 15891
704	1	14586
705	1	14532
706	2	14481, 14513
707	1	15868
708	2	499, 14533
709	2	4158, 14521
710	1	14545
711	2	10129, 15568
712	4	6208, 13170, 14108, 15547
713	2	4240, 16242
714	1	4062
715	1	779
716	1	14486
717	2	15536, 15828
718	1	6929
719	1	16135
723	1	9497
724	1	4103
725	1	12527
728	1	6842
729	1	4861
730	1	1342
731	1	4983
732	1	8254
733	1	2908
734	1	7090
735	1	6886
736	2	6864, 11662
737	1	10837
738	1	226
740	1	10890
741	1	1540
742	1	12747
743	1	12264
744	1	1007
745	1	598
746	1	12275
750	1	11004
751	1	11045
753	1	12298
754	1	12299
755	1	2815
756	1	6545
757	1	6452
758	1	6459
759	1	6548
760	1	6474
761	1	6780
762	1	6482
763	1	3362
764	1	12363
765	1	6821
766	1	4379
767	1	6511
768	1	6505
769	1	6546
770	1	6513
771	1	6449
772	1	6494
773	1	6535
774	1	6883
775	1	6577
776	1	12209
778	1	2417
779	1	12472
780	1	12515
781	1	1126
783	2	16180, 16282
784	3	6354, 16122, 16739
785	1	15608
787	1	16056
788	1	15088
789	1	15798
790	1	6199
791	1	14445
792	1	14587
793	1	16157
794	1	15955
795	1	15896
796	1	15935
797	1	16035
798	1	4927
799	1	16034
800	1	15980
801	1	15986
802	1	15983
803	1	14129
804	1	15992
805	1	16019
806	1	16032
807	2	14564, 16833
808	2	14462, 16820
809	1	14473
810	5	14573, 16774, 16779, 16815, 16823
811	1	14471
812	1	15662
813	1	16199
814	1	6759
815	1	16239
816	1	16250
817	1	4274
818	1	16215
819	1	16112
820	1	1123
821	1	15178
822	1	797
823	1	747
824	1	4601
825	1	1135
826	1	14495
827	1	16224
828	1	16071
829	1	16078
830	1	16143
831	2	2450, 16114
832	1	16044
833	1	13179
834	1	16260
835	1	15680
846	1	16686
847	1	4863
848	1	9442
849	2	15571, 15579
850	1	1437
851	1	15713
852	3	3173, 6340, 15697
853	1	9789
855	1	15718
856	1	15701
858	1	6875
859	1	3818
860	1	17034
861	1	15730
862	5	854, 14819, 15734, 15744, 15841
863	1	15843
864	6	5760, 14890, 15840, 15848, 15852, 15927
865	1	15797
867	2	15769, 15775
869	3	14764, 15844, 15845
872	1	15928
874	1	15731
876	1	15795
878	1	15740
879	9	844, 5339, 14851, 14913, 15741, 15779, 15822, 15829, 15922
880	1	991
881	1	15899
883	1	9417
884	1	5294
885	1	703
886	2	5335, 15907
887	1	5373
888	1	15733
889	1	15750
890	1	5938
891	2	14791, 15044
892	5	6097, 15756, 15764, 15778, 15902
893	1	15790
896	1	15763
897	1	14868
899	1	15544
901	1	3462
902	1	15545
906	2	16717, 17083
907	1	4845
908	1	17048
909	3	16724, 16725, 16750
910	1	17051
911	2	17027, 17056
914	1	17062
915	2	7580, 16749
916	1	16766
917	1	16767
918	1	17068
920	1	16786
921	1	17075
923	1	16801
924	3	16791, 16797, 17085
925	1	16804
928	1	16830
934	2	12007, 16141
935	1	8571
936	2	16841, 16885
937	1	15647
938	1	15694
939	1	15811
941	1	6073
942	1	16295
943	2	15643, 15839
944	2	16705, 17042
945	1	17039
954	1	16165
955	1	16145
956	1	16156
957	1	16140
958	1	16131
959	1	16166
960	1	17140
961	1	2065
962	1	16960
963	1	16949
964	1	16927
965	1	16915
966	1	16907
967	1	8437
968	1	16862
969	1	15656
970	1	15864
971	1	7685
972	1	14714
973	1	15717
974	1	15804
975	1	15857
976	1	15706
977	1	15715
978	1	15704
979	1	15710
980	1	15692
981	1	17041
982	1	16702
983	1	16701
984	1	16699
985	1	3036
986	1	16697
987	1	17036
988	1	16692
989	1	16690
990	1	11038
991	0	